서울특별시 성동구 마장동,28,서울특별시 영등포구 양평동4가,5,,,서울특별시 성동구 금호동3가,14
서울특별시 성동구 성수동1가,56,서울특별시 영등포구 여의도동,4,,,서울특별시 성동구 금호동4가,3
서울특별시 성동구 성수동2가,63,서울특별시 영등포구 영등포동,25,,,서울특별시 성동구 도선동,9
서울특별시 성동구 송정동,24,서울특별시 영등포구 영등포동1가,17,,,서울특별시 성동구 마장동,8
서울특별시 성동구 용답동,12,서울특별시 영등포구 영등포동2가,4,,,서울특별시 성동구 사근동,4
서울특별시 성동구 행당동,10,서울특별시 영등포구 영등포동3가,24,,,서울특별시 성동구 상왕십리동,4
서울특별시 성동구 홍익동,5,서울특별시 영등포구 영등포동7가,8,,,서울특별시 성동구 성수동1가,6
서울특별시 성북구 돈암동,6,서울특별시 용산구 보광동,6,,,서울특별시 성동구 성수동2가,7
서울특별시 성북구 동소문동6가,4,서울특별시 용산구 원효로1가,5,,,서울특별시 성동구 옥수동,3
서울특별시 성북구 삼선동1가,4,서울특별시 용산구 한강로1가,5,,,서울특별시 성동구 용답동,12
서울특별시 성북구 상월곡동,9,서울특별시 용산구 한강로2가,11,,,서울특별시 성동구 응봉동,3
서울특별시 성북구 석관동,28,서울특별시 용산구 한강로3가,7,,,서울특별시 성동구 행당동,40
서울특별시 성북구 안암동4가,4,서울특별시 용산구 한남동,9,,,서울특별시 성동구 홍익동,3
서울특별시 성북구 장위동,10,서울특별시 은평구 갈현동,31,,,서울특별시 성북구 길음동,36
서울특별시 성북구 종암동,29,서울특별시 은평구 구산동,10,,,서울특별시 성북구 돈암동,17
서울특별시 성북구 하월곡동,31,서울특별시 은평구 녹번동,10,,,서울특별시 성북구 동선동1가,5
서울특별시 송파구 가락동,124,서울특별시 은평구 대조동,33,,,서울특별시 성북구 동선동2가,16
서울특별시 송파구 거여동,31,서울특별시 은평구 불광동,15,,,서울특별시 성북구 동선동4가,4
서울특별시 송파구 마천동,11,서울특별시 은평구 신사동,27,,,서울특별시 성북구 동선동5가,3
서울특별시 송파구 문정동,19,서울특별시 은평구 응암동,19,,,서울특별시 성북구 동소문동1가,4
서울특별시 송파구 방이동,139,서울특별시 은평구 증산동,9,,,서울특별시 성북구 동소문동4가,3
서울특별시 송파구 삼전동,57,서울특별시 종로구 공평동,17,,,서울특별시 성북구 동소문동5가,15
서울특별시 송파구 석촌동,59,서울특별시 종로구 낙원동,23,,,서울특별시 성북구 동소문동6가,4
서울특별시 송파구 송파동,39,서울특별시 종로구 명륜4가,8,,,서울특별시 성북구 동소문동7가,3
서울특별시 송파구 신천동,40,서울특별시 종로구 서린동,17,,,서울특별시 성북구 삼선동1가,8
서울특별시 송파구 오금동,45,서울특별시 종로구 숭인동,36,,,서울특별시 성북구 상월곡동,4
서울특별시 송파구 잠실동,203,서울특별시 종로구 재동,8,,,서울특별시 성북구 석관동,14
서울특별시 송파구 풍납동,53,서울특별시 종로구 종로2가,5,,,서울특별시 성북구 안암동3가,3
서울특별시 양천구 목동,123,서울특별시 종로구 종로4가,8,,,서울특별시 성북구 안암동5가,5
서울특별시 양천구 신월동,54,서울특별시 종로구 종로5가,27,,,서울특별시 성북구 장위동,39
서울특별시 양천구 신정동,106,서울특별시 종로구 종로6가,10,,,서울특별시 성북구 정릉동,40
서울특별시 영등포구 당산동,13,서울특별시 종로구 창신동,33,,,서울특별시 성북구 종암동,32
서울특별시 영등포구 당산동1가,31,서울특별시 종로구 효제동,6,,,서울특별시 성북구 하월곡동,34
서울특별시 영등포구 당산동3가,12,서울특별시 중구 남대문로4가,6,,,서울특별시 송파구 가락동,45
서울특별시 영등포구 당산동4가,18,서울특별시 중구 방산동,15,,,서울특별시 송파구 거여동,13
서울특별시 영등포구 당산동6가,20,서울특별시 중구 서소문동,7,,,서울특별시 송파구 마천동,15
