,사고 빈번수,사상자 위험도,사고 위험도,,,,
서울특별시 은평구 신사동,27,약간 위험,위험,,,,
서울특별시 서대문구 신촌동,7,약간 위험,위험,,,,
서울특별시 성북구 보문동1가,8,약간 위험,위험,,,,
서울특별시 서대문구 천연동,8,약간 위험,위험,,,,
서울특별시 종로구 숭인동,36,약간 위험,위험,,,,
서울특별시 금천구 시흥동,46,약간 위험,매우 위험,,,,
서울특별시 동대문구 휘경동,8,약간 위험,위험,,,,
서울특별시 구로구 고척동,11,약간 위험,위험,,,,
서울특별시 용산구 한강로2가,11,약간 위험,위험,,,,
서울특별시 광진구 구의동,11,약간 위험,위험,,,,
서울특별시 영등포구 영등포동,25,약간 위험,매우 위험,,,,
서울특별시 종로구 종로6가,10,약간 위험,위험,,,,
서울특별시 구로구 가리봉동,66,약간 위험,매우 위험,,,,
서울특별시 강남구 개포동,12,약간 위험,위험,,,,
서울특별시 은평구 구산동,10,약간 위험,위험,,,,
서울특별시 서대문구 현저동,8,약간 위험,매우 위험,,,,
서울특별시 중구 신당동,38,약간 위험,매우 위험,,,,
서울특별시 성동구 성수동1가,3,약간 위험,매우 위험,,,,
서울특별시 양천구 신월동,37,약간 위험,위험,,,,
서울특별시 종로구 종로4가,8,약간 위험,위험,,,,
서울특별시 금천구 독산동,57,약간 위험,위험,,,,
서울특별시 동대문구 청량리동,9,약간 위험,매우 위험,,,,
서울특별시 송파구 마천동,4,약간 위험,위험,,,,
서울특별시 은평구 갈현동,31,약간 위험,위험,,,,
서울특별시 은평구 녹번동,10,약간 위험,위험,,,,
서울특별시 종로구 종로5가,27,약간 위험,위험,,,,
서울특별시 중랑구 신내동,13,약간 위험,위험,,,,
서울특별시 강서구 가양동,4,약간 위험,매우 위험,,,,
서울특별시 영등포구 문래동3가,14,약간 위험,매우 위험,,,,
서울특별시 송파구 송파동,8,약간 위험,위험,,,,
서울특별시 마포구 공덕동,21,약간 위험,매우 위험,,,,
서울특별시 종로구 명륜4가,8,약간 위험,위험,,,,
서울특별시 영등포구 대림동,14,약간 위험,매우 위험,,,,
서울특별시 서대문구 영천동,8,약간 위험,매우 위험,,,,
서울특별시 동대문구 이문동,4,약간 위험,위험,,,,
서울특별시 관악구 봉천동,73,약간 위험,위험,,,,
서울특별시 중구 흥인동,14,약간 위험,매우 위험,,,,
서울특별시 마포구 신수동,11,약간 위험,매우 위험,,,,
서울특별시 노원구 하계동,20,약간 위험,위험,,,,
서울특별시 은평구 응암동,19,약간 위험,위험,,,,
서울특별시 중랑구 상봉동,8,약간 위험,위험,,,,
서울특별시 영등포구 양평동4가,5,약간 위험,위험,,,,
서울특별시 영등포구 영등포동1가,17,약간 위험,매우 위험,,,,
서울특별시 종로구 공평동,17,약간 위험,위험,,,,
서울특별시 동작구 노량진동,11,약간 위험,매우 위험,,,,
서울특별시 서초구 반포동,5,약간 위험,위험,,,,
서울특별시 서초구 방배동,17,약간 위험,위험,,,,
서울특별시 동대문구 회기동,8,약간 위험,위험,,,,
서울특별시 동대문구 장안동,4,약간 위험,위험,,,,
서울특별시 노원구 월계동,10,약간 위험,위험,,,,
서울특별시 종로구 재동,8,약간 위험,매우 위험,,,,
서울특별시 중랑구 망우동,10,약간 위험,매우 위험,,,,
서울특별시 종로구 창신동,33,약간 위험,위험,,,,
서울특별시 동작구 상도동,13,약간 위험,위험,,,,
서울특별시 중구 중림동,7,약간 위험,위험,,,,
서울특별시 구로구 온수동,5,약간 위험,위험,,,,
서울특별시 은평구 불광동,15,약간 위험,위험,,,,
서울특별시 중구 쌍림동,5,약간 위험,매우 위험,,,,
서울특별시 성동구 성수동2가,12,약간 위험,위험,,,,
서울특별시 성북구 석관동,7,약간 위험,위험,,,,
서울특별시 종로구 서린동,17,약간 위험,매우 위험,,,,
서울특별시 노원구 상계동,23,약간 위험,위험,,,,
서울특별시 광진구 화양동,27,약간 위험,위험,,,,
서울특별시 서대문구 남가좌동,9,약간 위험,위험,,,,
서울특별시 송파구 방이동,4,약간 위험,매우 위험,,,,
서울특별시 영등포구 영등포동3가,24,약간 위험,위험,,,,
